5.7494 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [2560, 1440]. Using actual size
11.8969 	EXP 	grating: color = 0.4156690780000645
11.9307 	EXP 	grating: phase = 0.5
11.9307 	EXP 	grating: color = 0.34806495800148696
11.9636 	EXP 	grating: phase = 0.5
11.9636 	EXP 	grating: color = 0.28237985000305343
11.9968 	EXP 	grating: phase = 0.5
11.9968 	EXP 	grating: color = 0.21575550599663984
12.0300 	EXP 	grating: phase = 0.0
12.0300 	EXP 	grating: color = 0.1496350480010733
12.0639 	EXP 	grating: phase = 0.0
12.0639 	EXP 	grating: color = 0.08235349399910774
12.0972 	EXP 	grating: phase = 0.0
12.0972 	EXP 	grating: color = 0.014948609998100437
12.1305 	EXP 	grating: phase = 0.0
12.1305 	EXP 	grating: color = 0
12.1640 	EXP 	grating: phase = 0.5
12.1640 	EXP 	grating: color = 0
12.1973 	EXP 	grating: phase = 0.5
12.1973 	EXP 	grating: color = 0
12.2305 	EXP 	grating: phase = 0.5
12.2305 	EXP 	grating: color = 0
12.2638 	EXP 	grating: phase = 0.5
12.2638 	EXP 	grating: color = 0
12.2972 	EXP 	grating: phase = 0.0
12.2972 	EXP 	grating: color = 0
12.3310 	EXP 	grating: phase = 0.0
12.3310 	EXP 	grating: color = 0
12.3635 	EXP 	grating: phase = 0.0
12.3635 	EXP 	grating: color = 0
12.3966 	EXP 	grating: phase = 0.5
12.3966 	EXP 	grating: color = 0
12.4305 	EXP 	grating: phase = 0.5
12.4305 	EXP 	grating: color = 0
12.4641 	EXP 	grating: phase = 0.5
12.4641 	EXP 	grating: color = 0
12.4977 	EXP 	grating: phase = 0.5
12.4977 	EXP 	grating: color = 0
12.5305 	EXP 	grating: phase = 0.0
12.5305 	EXP 	grating: color = 0
12.5643 	EXP 	grating: phase = 0.0
12.5643 	EXP 	grating: color = 0
12.5976 	EXP 	grating: phase = 0.0
12.5976 	EXP 	grating: color = 0
12.6306 	EXP 	grating: phase = 0.0
12.6306 	EXP 	grating: color = 0
12.6641 	EXP 	grating: phase = 0.5
12.6641 	EXP 	grating: color = 0
12.6973 	EXP 	grating: phase = 0.5
12.6973 	EXP 	grating: color = 0
12.7310 	EXP 	grating: phase = 0.5
12.7310 	EXP 	grating: color = 0
12.7642 	EXP 	grating: phase = 0.5
12.7642 	EXP 	grating: color = 0
12.7980 	EXP 	grating: phase = 0.0
12.7980 	EXP 	grating: color = 0
12.8308 	EXP 	grating: phase = 0.0
12.8308 	EXP 	grating: color = 0
12.8647 	EXP 	grating: phase = 0.0
12.8647 	EXP 	grating: color = 0
12.8973 	EXP 	grating: phase = 0.5
12.8973 	EXP 	grating: color = 0
12.9315 	EXP 	grating: phase = 0.5
12.9315 	EXP 	grating: color = 0
12.9638 	EXP 	grating: phase = 0.5
12.9638 	EXP 	grating: color = 0
12.9979 	EXP 	grating: phase = 0.5
12.9979 	EXP 	grating: color = 0
13.0310 	EXP 	grating: phase = 0.0
13.0310 	EXP 	grating: color = 0
13.0642 	EXP 	grating: phase = 0.0
13.0642 	EXP 	grating: color = 0
13.0975 	EXP 	grating: phase = 0.0
13.0975 	EXP 	grating: color = 0
13.1314 	EXP 	grating: phase = 0.0
13.1314 	EXP 	grating: color = 0
13.1640 	EXP 	grating: phase = 0.5
13.1640 	EXP 	grating: color = 0
13.1974 	EXP 	grating: phase = 0.5
13.1974 	EXP 	grating: color = 0
13.2308 	EXP 	grating: phase = 0.5
13.2308 	EXP 	grating: color = 0
13.2646 	EXP 	grating: phase = 0.0
13.2646 	EXP 	grating: color = 0
13.2983 	EXP 	grating: phase = 0.0
13.2983 	EXP 	grating: color = 0
13.3307 	EXP 	grating: phase = 0.0
13.3307 	EXP 	grating: color = 0
13.3647 	EXP 	grating: phase = 0.0
13.3647 	EXP 	grating: color = 0
13.3981 	EXP 	grating: phase = 0.5
13.3981 	EXP 	grating: color = 0
13.4311 	EXP 	grating: phase = 0.5
13.4311 	EXP 	grating: color = 0
13.4652 	EXP 	grating: phase = 0.5
13.4652 	EXP 	grating: color = 0
13.4983 	EXP 	grating: phase = 0.5
13.4983 	EXP 	grating: color = 0
13.5313 	EXP 	grating: phase = 0.0
13.5313 	EXP 	grating: color = 0
13.5649 	EXP 	grating: phase = 0.0
13.5649 	EXP 	grating: color = 0
13.5977 	EXP 	grating: phase = 0.0
13.5977 	EXP 	grating: color = 0
13.6317 	EXP 	grating: phase = 0.0
13.6317 	EXP 	grating: color = 0
13.6646 	EXP 	grating: phase = 0.5
13.6646 	EXP 	grating: color = 0
13.6980 	EXP 	grating: phase = 0.5
13.6980 	EXP 	grating: color = 0
13.7311 	EXP 	grating: phase = 0.5
13.7311 	EXP 	grating: color = 0
13.7643 	EXP 	grating: phase = 0.0
13.7643 	EXP 	grating: color = 0
13.7983 	EXP 	grating: phase = 0.0
13.7983 	EXP 	grating: color = 0
13.8315 	EXP 	grating: phase = 0.0
13.8315 	EXP 	grating: color = 0
13.8645 	EXP 	grating: phase = 0.0
13.8645 	EXP 	grating: color = 0
13.8984 	EXP 	grating: phase = 0.5
13.8984 	EXP 	grating: color = 0
13.9314 	EXP 	grating: phase = 0.5
13.9314 	EXP 	grating: color = 0
13.9649 	EXP 	grating: phase = 0.5
13.9649 	EXP 	grating: color = 0
13.9985 	EXP 	grating: phase = 0.5
13.9985 	EXP 	grating: color = 0
14.0317 	EXP 	grating: phase = 0.0
14.0317 	EXP 	grating: color = 0
14.0650 	EXP 	grating: phase = 0.0
14.0650 	EXP 	grating: color = 0
14.0989 	EXP 	grating: phase = 0.0
14.0989 	EXP 	grating: color = 0
14.1320 	EXP 	grating: phase = 0.0
14.1320 	EXP 	grating: color = 0
14.1648 	EXP 	grating: phase = 0.5
14.1648 	EXP 	grating: color = 0
14.1986 	EXP 	grating: phase = 0.5
14.1986 	EXP 	grating: color = 0
14.2325 	EXP 	grating: phase = 0.5
14.2325 	EXP 	grating: color = 0
14.2661 	EXP 	grating: phase = 0.0
14.2661 	EXP 	grating: color = 0
14.2990 	EXP 	grating: phase = 0.0
14.2990 	EXP 	grating: color = 0
14.3322 	EXP 	grating: phase = 0.0
14.3322 	EXP 	grating: color = 0
14.3650 	EXP 	grating: phase = 0.0
14.3650 	EXP 	grating: color = 0
14.3992 	EXP 	grating: phase = 0.5
14.3992 	EXP 	grating: color = 0
14.4321 	EXP 	grating: phase = 0.5
14.4321 	EXP 	grating: color = 0
14.4657 	EXP 	grating: phase = 0.5
14.4657 	EXP 	grating: color = 0
14.4982 	EXP 	grating: phase = 0.5
14.4982 	EXP 	grating: color = 0
14.5322 	EXP 	grating: phase = 0.0
14.5322 	EXP 	grating: color = 0
14.5650 	EXP 	grating: phase = 0.0
14.5650 	EXP 	grating: color = 0
14.5989 	EXP 	grating: phase = 0.0
14.5989 	EXP 	grating: color = 0
14.6326 	EXP 	grating: phase = 0.0
14.6326 	EXP 	grating: color = 0
14.6653 	EXP 	grating: phase = 0.5
14.6653 	EXP 	grating: color = 0
14.6993 	EXP 	grating: phase = 0.5
14.6993 	EXP 	grating: color = 0
14.7323 	EXP 	grating: phase = 0.5
14.7323 	EXP 	grating: color = 0
14.7663 	EXP 	grating: phase = 0.0
14.7663 	EXP 	grating: color = 0
14.7987 	EXP 	grating: phase = 0.0
14.7987 	EXP 	grating: color = 0
14.8325 	EXP 	grating: phase = 0.0
14.8325 	EXP 	grating: color = 0
14.8658 	EXP 	grating: phase = 0.0
14.8658 	EXP 	grating: color = 0
14.8992 	EXP 	grating: phase = 0.5
14.8992 	EXP 	grating: color = 0
14.9324 	EXP 	grating: phase = 0.5
14.9324 	EXP 	grating: color = 0
14.9661 	EXP 	grating: phase = 0.5
14.9661 	EXP 	grating: color = 0
14.9994 	EXP 	grating: phase = 0.5
14.9994 	EXP 	grating: color = 0
15.0324 	EXP 	grating: phase = 0.0
15.0324 	EXP 	grating: color = 0
15.0657 	EXP 	grating: phase = 0.0
15.0657 	EXP 	grating: color = 0
