instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,18,17,start,4,0.03221626991781973,1,0,"['up', 'down']",down,0.7075884521473199,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,19,18,start,4,0.022258037925598606,1,90,"['left', 'right']",left,0.8848210249561816,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,20,19,start,4,0.012886711527273387,1,90,"['left', 'right']",left,1.0938378958962858,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,21,20,start,4,0.0040133515322394175,1,0,"['up', 'down']",down,1.4627009460236877,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,22,21,start,4,0,0,0,"['up', 'down']",left,3.4966519000008702,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,23,22,start,4,0.03204776925873598,1,90,"['left', 'right']",left,1.6074711410328746,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,24,23,start,4,0.024607218883227366,1,90,"['left', 'right']",left,0.979963691206649,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,25,24,start,4,0.01752470831477637,1,90,"['left', 'right']",left,0.7788611438591033,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,26,25,start,4,0.010926266630739034,1,0,"['up', 'down']",down,0.9528143520001322,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,27,26,start,4,0.004701056511479895,1,90,"['left', 'right']",left,1.0309566920623183,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
