Gender,instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.method,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.method,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,23,22,start,4,0.011987624759789317,1,90,"['left', 'right']",right,0.5682533399667591,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,24,23,start,4,0.005296608533833902,1,0,"['up', 'down']",up,0.7187474379315972,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,25,24,start,4,0,1,0,"['up', 'down']",up,0.7916049920022488,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,26,25,start,4,0,1,0,"['up', 'down']",up,0.6124966349452734,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,27,26,start,4,0,1,90,"['left', 'right']",right,0.46540177101269364,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,28,27,start,4,0,1,90,"['left', 'right']",right,0.5241419500671327,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,29,28,start,4,0,1,0,"['up', 'down']",up,0.6205833300482482,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,30,29,start,4,0,1,0,"['up', 'down']",up,0.576030989177525,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,1,0,start,4,0.25,1,90,"['left', 'right']",right,0.49304808396846056,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,2,1,start,4,0.24393288281885755,1,90,"['left', 'right']",right,0.4635234400629997,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
