Gender,instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.method,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.method,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,27,26,start,4,0.031342534847434655,1,90,"['left', 'right']",right,0.7634544400498271,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,28,27,start,4,0.023644523323845035,1,0,"['up', 'down']",up,0.6410982192028314,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,29,28,start,4,0.015549870670049898,1,0,"['up', 'down']",up,0.525435846997425,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,30,29,start,4,0.007280393768721305,1,0,"['up', 'down']",up,0.6050673408899456,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,1,0,start,4,0.25,1,0,"['up', 'down']",up,0.39430200099013746,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,2,1,start,4,0.24393288281885755,1,0,"['up', 'down']",up,0.4883966080378741,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,3,2,start,4,0.20430437229992937,1,90,"['left', 'right']",right,0.4896524269133806,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,4,3,start,4,0.16917765722672617,1,0,"['up', 'down']",up,0.4667369411326945,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,5,4,start,4,0.13843364674088682,1,0,"['up', 'down']",up,0.5494549309369177,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,6,5,start,4,0.11096816841978249,1,0,"['up', 'down']",up,0.5418278758879751,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,7,6,start,4,0.08587213846235048,1,90,"['left', 'right']",right,0.5975121110677719,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,8,7,start,4,0.06304081402258854,1,90,"['left', 'right']",right,0.5872051478363574,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,9,8,start,4,0.04133809951025971,1,90,"['left', 'right']",right,0.6566902250051498,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,10,9,start,4,0.020940970069613957,1,0,"['up', 'down']",up,0.7707923429552466,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,11,10,start,4,0.0015860812118730638,0,90,"['left', 'right']",up,0.6419929761905223,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,12,11,start,4,0.0764517370086786,1,90,"['left', 'right']",right,0.48532894207164645,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,13,12,start,4,0.06261376216441111,1,0,"['up', 'down']",up,0.47902589989826083,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,14,13,start,4,0.04983036431216972,1,90,"['left', 'right']",right,0.55434106499888,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,15,14,start,4,0.03822327498282421,1,0,"['up', 'down']",up,0.5774034529458731,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,16,15,start,4,0.027512046272119617,1,0,"['up', 'down']",up,0.49555492494255304,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,17,16,start,4,0.017547092318265234,1,90,"['left', 'right']",right,0.6333409920334816,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,18,17,start,4,0.008201796057982408,1,0,"['up', 'down']",up,0.5736237610690296,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,19,18,start,4,0,1,90,"['left', 'right']",right,0.6916529608424753,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,20,19,start,4,0,1,0,"['up', 'down']",up,0.5814072438515723,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,21,20,start,4,0,1,0,"['up', 'down']",up,0.8202946491073817,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,22,21,start,4,0,0,0,"['up', 'down']",right,0.5033805819693953,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,23,22,start,4,0.013586298634150062,1,0,"['up', 'down']",up,0.520758907077834,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,24,23,start,4,0.006866296969864377,1,90,"['left', 'right']",right,0.7209328759927303,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,25,24,start,4,0.0005619982206405694,1,90,"['left', 'right']",right,1.0084946569986641,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,26,25,start,4,0,0,90,"['left', 'right']",up,0.6144408700056374,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,27,26,start,4,0.02122893526223829,1,0,"['up', 'down']",up,0.7067926521413028,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,28,27,start,4,0.015596003283497306,1,90,"['left', 'right']",right,0.6606760541908443,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,29,28,start,4,0.010213433959669366,1,0,"['up', 'down']",up,0.7108974358998239,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,30,29,start,4,0.005202047963520723,1,0,"['up', 'down']",up,0.5278995910193771,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,1,0,start,4,0.25,1,90,"['left', 'right']",right,0.552311273990199,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,2,1,start,4,0.24393288281885755,1,90,"['left', 'right']",right,0.45451867184601724,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,3,2,start,4,0.20430437229992937,1,0,"['up', 'down']",up,0.4656436229124665,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,4,3,start,4,0.16917765722672617,1,90,"['left', 'right']",right,0.485044312896207,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,5,4,start,4,0.13843364674088682,0,90,"['left', 'right']",up,0.4056876788381487,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,6,5,start,4,0.2541450862392841,1,0,"['up', 'down']",up,0.4670136438217014,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,7,6,start,4,0.23039282086109553,1,0,"['up', 'down']",up,0.36588834691792727,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,8,7,start,4,0.21046115954806235,1,90,"['left', 'right']",right,0.49250732688233256,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,9,8,start,4,0.19339737300167167,1,90,"['left', 'right']",right,0.9748059490229934,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,10,9,start,4,0.17835155204141093,1,90,"['left', 'right']",right,0.6368364989757538,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,11,10,start,4,0.16518562568597717,0,90,"['left', 'right']",up,0.46525877295061946,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,12,11,start,4,0.22127874879630294,1,0,"['up', 'down']",up,0.43506893888115883,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,13,12,start,4,0.20865235235135135,1,90,"['left', 'right']",right,1.2636325270868838,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,14,13,start,4,0.197647929947829,1,90,"['left', 'right']",right,0.5694131019990891,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,15,14,start,4,0.187854704050737,1,90,"['left', 'right']",right,0.4808667639736086,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,16,15,start,4,0.17900199565385205,1,90,"['left', 'right']",right,0.5066538811661303,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,17,16,start,4,0.1709341387743622,1,90,"['left', 'right']",right,0.3882817879784852,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,18,17,start,4,0.1635144259000804,1,0,"['up', 'down']",up,0.5546908739488572,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,19,18,start,4,0.15653275723166127,1,90,"['left', 'right']",right,0.5446231139358133,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,20,19,start,4,0.15002334411084373,1,0,"['up', 'down']",up,0.5045457701198757,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,21,20,start,4,0.14398834563949564,1,90,"['left', 'right']",right,0.4581122298259288,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,22,21,start,4,0.13811553252126804,1,90,"['left', 'right']",right,0.5644038720056415,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,23,22,start,4,0.1326421003744701,1,0,"['up', 'down']",up,0.6751362520735711,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,24,23,start,4,0.12732709386353103,0,0,"['up', 'down']",right,0.5101052769459784,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,25,24,start,4,0.15048333065935948,1,0,"['up', 'down']",up,0.3913179421797395,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,26,25,start,4,0.14556608982502334,1,90,"['left', 'right']",right,0.5417994791641831,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,27,26,start,4,0.14081845392129855,1,90,"['left', 'right']",right,0.5493794050998986,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,28,27,start,4,0.13634069213081865,1,90,"['left', 'right']",right,0.4614247139543295,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,29,28,start,4,0.13203081155667964,1,0,"['up', 'down']",up,0.760087258880958,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,30,29,start,4,0.1278477072220225,1,90,"['left', 'right']",right,0.7030521288979799,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.2797683379613,None,space,0.872149680973962,230.2797683379613,None,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
