instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.pThreshold,loop_practice.max_contr,loop_practice.minVal,loop_practice.maxVal,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.stepType,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,Gender,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,12,4,1,3,11,start,4,log,0.9882314517821313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,60.38781828500214,None,space,6.736844238999765,60.38781828500214,None,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,1,0,start,4,0.5,1,0,"['up', 'down']",up,0.7390113249966817,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,2,1,start,4,0.49393288281885755,1,90,"['left', 'right']",right,0.7224325970018981,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,3,2,start,4,0.45430437229992937,1,90,"['left', 'right']",right,0.8187338909992832,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,4,3,start,4,0.4191776572267262,1,90,"['left', 'right']",right,0.8545556389981357,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,5,4,start,4,0.3884336467408868,1,0,"['up', 'down']",up,0.7845660849998239,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,6,5,start,4,0.3609681684197825,1,90,"['left', 'right']",right,0.7500639620011498,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,7,6,start,4,0.3358721384623505,1,90,"['left', 'right']",right,1.0778286439999647,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,8,7,start,4,0.31304081402258854,1,90,"['left', 'right']",right,0.783919933001016,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,9,8,start,4,0.2913380995102597,1,0,"['up', 'down']",up,0.9171580920010456,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,10,9,start,4,0.27094097006961393,1,0,"['up', 'down']",up,1.134314909002569,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,11,10,start,4,0.2515860812118731,1,90,"['left', 'right']",right,1.00569802300015,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,12,11,start,4,0.23306299993724106,1,0,"['up', 'down']",up,1.0667549749996397,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,13,12,start,4,0.21520395490049282,1,90,"['left', 'right']",right,0.8050421990010364,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,14,13,start,4,0.19838823058016747,1,90,"['left', 'right']",right,0.9140202749986202,f,20191101163739,2019_Nov_01_1637,contrast_sensitivity_task,3.2.4,59.77237007879309,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,15,14,start,4,0.18207460732160385,,,,,,,,,,,,
